,Authority,variable,Issues,Stock,legend
199,Ealing,Children's Non-Fiction,51883.000013699995,38445.9999894,Comparitor authority
200,Ealing,Adult Talking Book,2344.9999999114,3565.000000726,Comparitor authority
201,Ealing,Children's Talking Book,782.9999999537999,1218.9999999725999,Comparitor authority
202,Ealing,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3520.0000004340004,13077.999998880001,Comparitor authority
203,East Sussex,Adult Fiction,618827.999958,155941.99999532002,Others
204,East Sussex,Adult Non-Fiction,187459.99999776002,123208.99998456001,Others
205,East Sussex,Children's Fiction,514632.00002760004,123150.99997788001,Others
206,East Sussex,Children's Non-Fiction,68377.99999184001,31721.999999228003,Others
207,East Sussex,Adult Talking Book,26442.000001732,17425.00000192,Others
208,East Sussex,Children's Talking Book,5497.0000001812,2272.9999997684004,Others
209,East Sussex,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",11783.000002312001,15612.999999968,Others
210,Enfield,Adult Fiction,203236.00001436,78494.99999822,Others
211,Enfield,Adult Non-Fiction,133824.000005,61486.999987279996,Others
212,Enfield,Children's Fiction,341424.0000112,72721.99999748,Others
213,Enfield,Children's Non-Fiction,52301.999998060004,16865.000000814,Others
214,Enfield,Adult Talking Book,15596.000001244,5432.999999539999,Others
215,Enfield,Children's Talking Book,1066.9999999370002,575.9999999516,Others
216,Enfield,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",7135.000001620001,9135.999998472,Others
217,Essex,Adult Fiction,1600913.0006940002,435278.99994179996,Others
218,Essex,Adult Non-Fiction,597095.00001432,310861.99994424,Others
219,Essex,Children's Fiction,1325154.00006804,404968.00005876,Others
220,Essex,Children's Non-Fiction,161749.00007100002,109478.999994516,Others
221,Essex,Adult Talking Book,66282.999999864,39871.99999548,Others
222,Essex,Children's Talking Book,1944.9999994716002,2170.0000003751998,Others
223,Essex,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",66120.999998856,72706.99999957201,Others
224,Gateshead,Adult Fiction,270573.9999849,61763.99999555999,Others
225,Gateshead,Adult Non-Fiction,72079.00000372,40457.99999397,Others
226,Gateshead,Children's Fiction,138906.99999453,38264.99999999,Others
227,Gateshead,Children's Non-Fiction,23601.00000704,14302.999999709999,Others
228,Gateshead,Adult Talking Book,23272.999993139998,8294.000000076,Others
229,Gateshead,Children's Talking Book,1258.9999999551999,1101.000000052,Others
230,Gateshead,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",14597.999999913,28326.99999955,Others
231,Greenwich,Adult Fiction,236032.99999202997,72045.000006,Others
232,Greenwich,Adult Non-Fiction,156584.99998897998,56582.00000494,Others
233,Greenwich,Children's Fiction,419713.99986459996,81849.99999918,Others
234,Greenwich,Children's Non-Fiction,51713.99998663,22051.999999491,Others
235,Greenwich,Adult Talking Book,24032.999999429998,6141.000000337,Others
236,Greenwich,Children's Talking Book,767.9999999406,949.999999994,Others
237,Greenwich,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",35654.00000843,20879.999998564996,Others
238,Hackney,Adult Fiction,137576.00000472,91234.9999932,Others
239,Hackney,Adult Non-Fiction,116255.99999211,81087.00001044001,Others
240,Hackney,Children's Fiction,236422.0000131,77974.00000056,Others
241,Hackney,Children's Non-Fiction,38459.00000367,33408.999992970006,Others
242,Hackney,Adult Talking Book,12847.999999029002,9155.999999862,Others
243,Hackney,Children's Talking Book,1234.0000000374,1476.0000000297,Others
244,Hackney,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",96067.99999587,51453.000000420005,Outlier
245,Halton,Adult Fiction,126651.0000024,72378.99999974,Others
246,Halton,Adult Non-Fiction,40400.99999966,29710.00000182,Others
247,Halton,Children's Fiction,73371.00000384,23776.9999992,Others
248,Halton,Children's Non-Fiction,12966.99999582,5219.999999754001,Others
249,Halton,Adult Talking Book,1479.9999999600002,1345.999999474,Others
250,Halton,Children's Talking Book,98.00000006380002,99.9999999938,Others
